item_id,order_id,product_id,quantity,unit_price,discount_percent
90,52,274,8,1118.6,70.24
91,290,1088,9,2250.96,96.46
92,220,1996,8,590.12,36.75
93,215,992,2,512.92,65.35
94,232,1567,2,26.36,39.49
95,222,562,7,1053.77,73.82
96,243,1816,5,595.72,87.49
97,292,688,5,486.66,46.66
98,163,941,3,1116.2,37.98
99,328,1423,10,1233.37,48.24
100,294,766,4,230.21,62.65
101,83,1996,7,1673.5,24.92
102,16,205,8,669.95,72.45
103,331,1979,10,163.82,43.99
104,50,1272,2,1528.7,38.0
105,30,1333,4,774.32,91.09
106,303,858,3,197.5,9.15
107,177,1407,10,1714.97,85.85
108,259,1585,4,735.12,39.35
109,9,890,10,471.11,73.51
110,357,1494,9,1027.49,5.36
111,295,1096,-4,154.38,94.16
112,103,562,9,2041.03,20.48
113,271,126,4,1734.04,93.28
114,323,1883,8,1895.46,92.11
115,151,1848,5,1756.19,9.41
116,74,194,7,2003.84,49.08
117,317,834,5,722.26,30.14
118,72,801,10,1325.39,72.94
119,310,1473,9,2375.18,17.22
120,345,346,6,1404.78,58.92
121,136,1078,9,1976.16,37.76
122,106,458,8,264.17,92.47
123,67,1373,6,1923.68,84.14
124,207,457,8,672.22,25.61
125,130,536,2,2300.87,46.76
126,67,622,6,1008.33,61.09
127,59,845,9,1485.87,6.65
128,54,507,6,935.2,65.71
129,134,1316,9,1141.15,71.17
130,12,726,-6,2015.89,43.96
131,23,993,6,1045.81,31.24
132,59,463,8,1368.6,24.97
133,24,1015,3,1344.08,23.49
134,277,362,6,1596.64,87.37
135,186,260,3,724.47,95.35
136,199,1788,9,48.51,18.9
137,159,221,6,1223.14,70.02
138,55,1654,6,662.5,10.32
139,17,1340,10,258.54,67.36
140,291,1313,8,1654.54,88.68
141,260,1679,3,1634.16,94.07
142,145,1147,6,2458.28,71.0
143,244,151,2,347.3,44.24
144,165,789,8,1621.46,99.56
145,309,10,4,2084.33,9.61
146,250,1168,8,2276.03,25.24
147,99,59,-9,1985.4,97.08
148,82,342,9,1419.78,4.47
149,50,1240,7,1548.12,38.91
150,17,317,9,1739.39,24.51
151,65,1683,7,1045.76,31.9
152,269,30,8,2322.71,23.8
153,92,848,7,118.93,1.34
154,279,53,1,1676.13,12.01
155,262,28,9,27.25,24.74
156,100,935,1,1349.82,54.62
157,246,1290,7,409.03,72.46
158,98,21,3,1141.22,6.14
159,218,1170,9,1847.47,93.95
160,303,958,4,952.37,64.75
161,138,142,3,877.51,97.79
162,288,122,2,1118.9,83.84
163,69,1270,3,1661.25,83.18
164,80,1357,10,1400.93,21.67
165,122,628,9,1463.54,70.35
166,299,1580,7,2240.18,82.0
167,138,1262,8,816.27,60.9
168,118,1926,1,607.0,36.32
169,234,1732,9,2416.24,89.22
170,336,442,4,1622.62,81.6
171,42,1358,2,1503.68,35.01
172,107,38,9,1748.52,14.96
173,300,1232,7,1676.42,5.71
174,220,959,10,1420.09,62.72
175,96,951,3,1493.54,91.64
176,354,197,10,694.35,85.08
177,37,1152,9,2381.43,95.84
178,263,573,8,849.6,51.61
179,139,1202,9,651.08,84.17
180,216,377,10,1386.04,77.99
181,277,1721,7,65.08,88.53
182,29,1142,3,1597.96,2.25
183,42,1168,8,2259.57,28.52
184,337,1361,4,2485.89,44.64
185,316,264,3,832.14,99.45
186,216,1025,6,70.98,68.76
187,308,1493,5,43.02,10.39
188,109,779,9,2144.4,27.32
189,331,1400,3,720.75,48.35
190,177,238,-1,1434.66,3.98
191,158,1423,8,680.59,42.5
192,243,1412,10,1216.63,15.93
193,249,592,5,1150.62,24.28
194,273,436,1,839.92,13.2
195,317,194,9,2148.05,67.43
196,214,512,1,674.92,46.02
197,136,1822,2,1939.47,4.56
198,8,648,3,1954.65,56.37
199,110,1592,6,2067.07,99.27
200,246,775,3,867.11,44.93
201,170,1043,6,1039.92,32.38
202,185,51,7,1814.55,42.62
203,257,977,7,1317.61,65.78
204,262,969,5,287.8,4.5
205,181,535,1,1018.97,26.5
206,228,1274,4,1279.19,13.62
207,261,587,5,726.69,0.61
208,160,762,2,97.71,66.64
209,101,988,7,110.53,60.34
210,34,1071,6,270.08,39.39
211,331,903,2,2140.21,36.4
212,289,573,10,417.19,57.49
213,127,1812,2,2328.31,15.18
214,315,943,2,2119.39,89.04
215,3,1763,2,278.78,69.35
216,236,604,8,2352.68,19.37
217,280,1278,1,2430.51,86.61
218,80,899,9,257.41,25.83
219,139,964,7,639.7,60.45
220,200,1428,5,2371.75,53.32
221,214,167,4,983.5,73.73
222,236,785,9,774.75,72.72
223,277,600,9,480.74,78.94
224,84,1487,7,177.69,69.43
225,328,1615,10,78.97,32.13
226,215,41,2,932.57,69.69
227,72,1857,8,1574.26,79.98
228,319,753,5,1349.0,96.85
229,165,767,8,1417.55,84.0
230,47,466,3,96.51,51.84
231,56,1601,8,1305.34,68.98
232,158,224,6,435.91,23.59
233,89,414,5,449.34,36.98
234,93,592,9,875.35,83.67
235,197,367,2,2029.29,46.52
236,145,1223,4,322.64,82.16
237,359,113,4,393.11,9.96
238,18,266,5,1316.41,7.43
239,324,1748,-7,1216.64,23.24
240,107,574,5,1702.51,0.21
241,107,504,7,1814.16,39.81
242,327,368,2,1485.12,54.73
243,88,678,8,385.36,36.0
244,328,1960,2,1821.55,94.71
245,333,406,2,1674.69,92.3
246,338,639,6,1344.6,16.95
247,73,1684,1,1808.83,24.58
248,79,1797,5,429.46,3.55
249,185,1645,6,2035.04,23.72
250,60,463,7,1535.89,0.43
251,310,277,6,1188.44,84.56
252,27,1038,3,1234.62,75.2
253,341,462,7,555.15,36.6
254,261,760,6,1479.26,6.33
255,108,1255,3,1413.94,43.88
256,297,1148,9,115.43,87.42
257,107,1691,6,2160.15,20.24
258,320,1994,-9,1838.63,12.58
259,345,592,-7,35.0,25.19
260,233,1654,-6,793.44,33.31
261,166,1057,7,1492.18,61.19
262,166,1096,1,2333.95,86.75
263,365,1460,8,341.34,20.2
264,130,492,5,55.18,39.93
265,20,1693,2,1079.67,56.37
266,127,782,2,1899.41,33.99
267,47,1731,2,760.04,71.87
268,79,1122,1,1000.76,13.36
269,284,843,3,1701.52,91.62
270,68,1303,2,726.04,32.99
271,305,320,3,435.32,23.99
272,68,1586,3,1759.12,1.51
273,230,1079,2,2346.23,17.13
274,121,682,3,162.82,58.61
275,366,1909,8,591.0,23.03
276,195,239,3,1594.18,48.47
277,144,1832,7,1843.92,51.94
278,193,586,7,149.45,76.76
279,235,1188,10,2335.51,21.55
280,2,1131,2,481.16,64.19
281,201,504,1,2241.35,23.75
282,97,1864,1,313.73,96.96
283,84,864,7,181.46,74.59
284,301,299,4,735.78,81.17
285,363,923,9,2163.75,19.55
286,100,1939,3,1261.1,6.4
287,82,340,7,473.32,16.06
288,101,1070,9,1804.59,8.27
289,167,362,9,1807.46,21.75
290,198,297,10,1218.51,2.74
291,150,1883,10,2467.08,85.15
292,154,153,2,437.71,33.84
293,80,516,3,2029.32,38.79
294,331,1162,1,559.09,70.62
295,213,1862,6,399.11,96.54
296,236,571,4,291.21,92.31
297,120,425,6,1792.04,44.68
298,320,164,10,1831.1,80.66
299,125,1562,-10,90.35,63.9
300,247,741,5,1430.25,5.92
301,245,265,3,570.24,74.11
302,247,10,-4,1403.3,87.4
303,309,1666,2,765.72,82.58
304,146,956,7,1800.55,75.32
305,51,551,3,1373.8,73.99
306,22,1139,7,1598.68,38.1
307,72,939,3,2112.66,86.45
308,171,1677,1,334.17,68.32
309,53,1631,5,285.32,66.79
310,211,365,6,1636.83,97.85
311,209,913,3,1057.99,64.49
312,292,1695,1,670.62,4.94
313,155,991,6,98.15,20.04
314,148,1726,5,1916.53,75.97
315,164,555,-3,2127.36,73.25
316,325,138,3,744.38,22.07
317,107,980,1,187.28,14.94
318,62,89,5,1525.65,33.51
319,334,1865,7,85.11,91.37
320,40,1531,6,2468.99,16.35
321,206,565,6,1470.29,28.17
322,223,898,9,1629.81,66.8
323,260,848,5,1571.87,86.91
324,338,1510,1,84.48,52.42
325,19,224,1,346.67,99.95
326,5,762,5,985.4,64.02
327,261,988,3,775.4,58.64
328,132,1197,-1,183.25,5.46
329,358,394,1,1722.41,73.2
330,89,64,5,715.24,60.09
331,213,593,1,150.93,26.49
332,235,83,3,1681.4,27.45
333,179,759,4,1966.76,21.7
334,263,934,6,1378.59,3.89
335,221,912,-7,2417.0,35.77
336,136,1070,2,577.58,93.72
337,291,720,6,309.9,71.94
338,351,320,8,171.95,77.84
339,54,1976,9,844.04,11.75
340,242,1733,7,249.58,20.78
341,135,230,6,99.05,10.5
342,6,1294,7,644.34,69.75
343,163,713,8,546.47,84.94
344,256,1837,1,195.21,14.56
345,17,1118,8,1623.4,30.62
346,11,1124,3,1298.73,71.92
347,220,1381,1,1486.52,31.76
348,209,80,4,256.84,1.49
349,314,1178,10,601.5,7.44
350,362,1715,10,679.54,5.89
351,259,235,10,420.2,71.88
352,363,227,10,2484.91,58.72
353,230,1757,3,2247.59,73.3
354,132,1276,6,383.56,35.59
355,170,1682,4,119.44,40.52
356,246,498,5,1336.04,70.98
357,224,1832,10,703.37,6.26
358,36,1951,2,1917.18,56.55
359,240,304,3,2049.79,18.9
360,255,1265,7,1296.47,66.32
361,35,24,8,1237.99,51.07
362,28,1031,3,1528.1,22.31
363,356,1764,6,2217.16,19.1
364,233,1181,2,454.25,56.19
365,198,172,4,2073.29,38.74
366,229,1693,-3,2436.74,15.1
367,348,288,6,959.58,84.27
368,350,1152,7,2291.41,41.85
369,57,180,10,2128.63,1.99
370,123,1280,-5,77.15,56.8
371,248,444,8,1895.95,2.06
372,106,448,9,2042.4,59.55
373,201,1439,6,1016.96,99.74
374,175,726,-7,59.3,64.56
375,25,1391,1,1524.96,54.84
376,319,383,1,908.16,69.18
377,19,720,10,2459.01,96.34
378,160,1639,7,203.8,57.39
