item_id,order_id,product_id,quantity,unit_price,discount_percent,invalid_discount,is_return
367,268,1940,8,1002.51,32.78,False,False
368,181,205,6,2478.08,17.21,False,False
369,3,15,8,140.23,52.38,False,False
370,213,1656,6,1332.08,13.28,False,False
371,213,784,1,888.72,32.51,False,False
372,132,1765,3,763.32,6.87,False,False
373,242,1911,9,747.3,14.37,False,False
374,209,1869,4,1340.68,42.58,False,False
375,163,1681,9,1180.18,4.19,False,False
376,126,837,2,493.02,88.19,False,False
377,138,316,5,2291.6,51.27,False,False
378,24,1633,7,1737.28,73.13,False,False
